GeoID,Pop_2015
17153,5672
17155,5636
17157,32846
17159,16043
17161,145958
17163,264079
17165,24574
17167,198496
17169,7043
17171,5114
17173,21801
17175,5764
17177,45791
17179,134735
17181,17399
17183,78990
17185,11554
17187,17507
17189,14246
17191,16427
17193,14349
17195,56963
17197,686687
17199,67589
17201,287168
17203,39158
18001,34967
18003,368040
18005,81011
18007,8674
18009,12287
18011,63400
18013,14919
18015,19890
18017,38078
18019,115090
18021,26485
18023,32567
18025,10510
18027,32836
18029,49475
18031,26393
18033,42557
18035,116019
18037,42421
18039,203284
18041,23426
18043,76761
18045,16536
18047,22890
18049,20328
18051,33762
18053,67692
18055,32450
18057,309172
18059,72392
18061,39639
18063,158059
18065,48894
18067,82581
18069,36607
18071,43941
18073,33501
18075,21155
18077,32465
18079,27913
18081,149338
18083,37891
18085,78815
18087,38671
18089,487649
18091,110762
18093,45485
18095,129495
18097,938058
18099,46756
18101,10191
18103,35902
18105,144257
18107,38167
18109,69646
18111,14002
18113,47759
18115,5936
18117,19516
18119,20809
18121,16878
18123,19322
18125,12476
18127,167631
18129,25490
18131,12871
18133,37621
18135,25133
18137,28699
18139,16725
18141,268134
18143,23707
18145,44442
18147,20727
18149,22940
18151,34343
18153,20927
18155,10509
18157,185741
18159,15292
18161,7195
18163,181941
18165,15634
18167,107708
18169,32075
18171,8280
18173,61894
18175,27721
18177,66984
18179,27937
18181,24224
18183,33395
19001,7211
19003,3758
19005,13882
19007,12551
19009,5738
19011,25663
19013,133499
19015,26571
19017,24779
19019,21084
19021,20289
19023,14896
19025,9828
19027,20507
19029,13354
19031,18362
19033,42988
19035,11567
19037,12085
19039,9245
19041,16491
19043,17674
19045,47617
19047,16998
19049,80777
19051,8777
19053,8185
19055,17406
19057,39985
19059,17122
19061,97034
19063,9732
19065,20223
19067,15954
19069,10308
19071,6902
19073,8960
19075,12413
19077,10663
19079,15213
19081,10985
19083,17276
19085,14248
19087,19892
19089,9367
19091,9546
19093,7004
19095,16381
19097,19454
19099,36729
19101,17853
19103,144567
19105,20395
19107,10129
19109,15155
19111,35071
19113,219792
19115,11231
19117,8692
19119,11749
19121,15746
19123,22291
19125,33141
19127,40512
19129,14815
19131,10787
19133,8974
19135,7947
19137,10227
19139,43017
19141,13989
19143,6127
19145,15521
19147,9139
19149,24913
19151,6991
19153,466688
19155,93534
19157,18512
19159,5054
19161,10009
19163,172170
19165,11913
19167,34752
19169,96346
19171,17341
19173,6229
19175,12447
19177,7325
19179,35248
19181,48706
19183,22251
19185,6386
19187,36992
19189,10567
19191,20754
19193,102464
19195,7562
19197,12803
20001,12724
20003,7824
20005,16409
20007,4821
20009,27092
20011,14724
20013,9745
20015,66601
20017,2676
20019,3392
20021,20561
20023,2687
20025,2089
20027,8340
20029,9235
20031,8359
20033,1839
20035,35777
20037,39231
20039,2926
20041,19292
20043,7756
20045,117915
20047,2970
20049,2602
20051,29024
20053,6330
20055,37000
20057,34263
20059,25559
20061,36981
20063,2657
20065,2589
20067,7690
20069,6095
20071,1317
20073,6244
20075,2481
20077,5781
20079,34908
20081,4058
20083,1896
20085,13328
20087,18886
20089,2978
20091,578758
20093,3948
20095,7653
20097,2558
20099,20749
20101,1663
20103,79207
20105,3126
20107,9561
20109,2814
20111,33243
20113,28944
20115,12120
20117,9906
20119,4288
20121,32727
20123,6319
20125,33316
20127,5650
20129,2992
20131,10209
20133,16333
20135,3015
20137,5552
20139,15912
20141,3684
20143,5946
20145,6805
20147,5431
20149,23194
20151,9718
20153,2538
20155,63647
20157,4722
20159,9943
20161,75312
20163,5159
20165,3102
20167,7029
20169,55516
20171,4980
20173,510360
20175,23159
20177,178541
20179,2501
20181,5976
20183,3693
20185,4236
20187,2053
20189,5731
20191,23494
20193,7915
20195,2923
20197,6905
20199,1513
20201,5564
20203,2145
20205,8852
20207,3124
20209,163095
21001,19264
21003,20561
21005,21929
21007,8219
21009,43676
21011,12261
