GeoID,Year,State,County,D_Etab,G_Etab,D_Cap,G_Cap,Pop,FD_num,FD_pct
42071,2005,Pennsylvania,Lancaster County,46,115,10754,4301,494722,156669,31.67
42099,2005,Pennsylvania,Perry County,7,9,6391,4971,44741,15406,34.43
42109,2005,Pennsylvania,Snyder County,7,14,5492,2746,38448,12546,32.63
42115,2005,Pennsylvania,Susquehanna County,11,14,3929,3087,43219,8753,20.25
45019,2005,South Carolina,Charleston County,48,95,6908,3490,331589,128335,38.7
46023,2005,South Dakota,Charles Mix County,3,4,3044,2283,9134,-3191,-34.94
47041,2005,Tennessee,DeKalb County,7,8,2592,2268,18150,-2950,-16.25
47047,2005,Tennessee,Fayette County,9,5,3759,6766,33831,5709,16.88
47107,2005,Tennessee,McMinn County,13,7,3923,7285,50999,9150,17.94
47119,2005,Tennessee,Maury County,16,18,4622,4109,73962,23073,31.2
47157,2005,Tennessee,Shelby County,111,219,8227,4169,913201,253124,27.72
48029,2005,Texas,Bexar County,149,174,10263,8788,1529270,364273,23.82
48085,2005,Texas,Collin County,47,78,13769,8297,647187,158051,24.42
48121,2005,Texas,Denton County,45,48,12303,11534,553669,122874,22.19
48201,2005,Texas,Harris County,393,801,9368,4596,3681829,772642,20.99
48213,2005,Texas,Henderson County,17,11,4588,7091,78001,17097,21.92
48231,2005,Texas,Hunt County,12,13,6901,6370,82822,21707,26.21
48439,2005,Texas,Tarrant County,182,218,8857,7394,1612048,392223,24.33
49021,2005,Utah,Iron County,3,4,13185,9888,39555,18810,47.55
49027,2005,Utah,Millard County,6,5,1989,2387,11935,-1416,-11.86
49035,2005,Utah,Salt Lake County,51,153,18587,6195,947963,246676,26.02
49049,2005,Utah,Utah County,26,43,16565,10016,430697,104504,24.26
49057,2005,Utah,Weber County,16,32,13134,6567,210150,49142,23.38
51001,2005,Virginia,Accomack County,12,10,2986,3583,35835,9041,25.23
51011,2005,Virginia,Appomattox County,7,5,1997,2796,13981,-1086,-7.77
51031,2005,Virginia,Campbell County,13,12,4061,4399,52795,22911,43.4
51043,2005,Virginia,Clarke County,3,4,4570,3427,13710,-3370,-24.58
51051,2005,Virginia,Dickenson County,6,7,2685,2301,16111,-951,-5.9
51093,2005,Virginia,Isle of Wight County,8,5,4070,6513,32566,6740,20.7
51131,2005,Virginia,Northampton County,8,8,1596,1596,12771,2995,23.45
51153,2005,Virginia,Prince William County,27,61,12985,5747,350612,81149,23.14
51165,2005,Virginia,Rockingham County,8,13,9003,5540,72030,16552,22.98
51169,2005,Virginia,Scott County,9,6,2564,3847,23084,5905,25.58
51520,2005,Virginia,Bristol city,5,5,3498,3498,17493,5182,29.62
51540,2005,Virginia,Charlottesville city,6,23,6766,1765,40597,24941,61.44
51590,2005,Virginia,Danville city,12,14,3757,3220,45086,15722,34.87
51660,2005,Virginia,Harrisonburg city,12,17,3714,2621,44572,16008,35.91
51740,2005,Virginia,Portsmouth city,14,12,7004,8172,98069,21725,22.15
51810,2005,Virginia,Virginia Beach city,45,73,9693,5975,436210,118890,27.26
53005,2005,Washington,Benton County,8,23,19715,6857,157726,48590,30.81
53007,2005,Washington,Chelan County,6,18,11457,3819,68747,23637,34.38
53011,2005,Washington,Clark County,18,52,21904,7582,394277,86693,21.99
53021,2005,Washington,Franklin County,3,14,20453,4382,61360,32095,52.31
53027,2005,Washington,Grays Harbor County,8,25,8802,2816,70423,13126,18.64
53033,2005,Washington,King County,67,464,26795,3869,1795268,381531,21.25
53047,2005,Washington,Okanogan County,3,13,13047,3011,39143,17181,43.89
53063,2005,Washington,Spokane County,25,86,17617,5121,440439,102829,23.35
53077,2005,Washington,Yakima County,10,57,22857,4010,228570,59501,26.03
54011,2005,West Virginia,Cabell County,21,21,4515,4515,94821,41250,43.5
54019,2005,West Virginia,Fayette County,9,16,5136,2889,46229,12099,26.17
54077,2005,West Virginia,Preston County,6,6,5252,5252,31513,2236,7.1
54109,2005,Texas,Panola County,9,9,2571,2571,23140,4788,20.69
54109,2005,West Virginia,Wyoming County,9,9,2719,2719,24471,5084,20.78
55005,2005,Wisconsin,Barron County,12,11,3817,4164,45808,9239,20.17
55019,2005,Wisconsin,Clark County,5,7,6866,4904,34334,7046,20.52
55027,2005,Wisconsin,Dodge County,7,14,12595,6297,88168,30247,34.31
55039,2005,Wisconsin,Fond du Lac County,16,11,6206,9027,99297,32073,32.3
55055,2005,Wisconsin,Jefferson County,8,14,10049,5742,80392,24875,30.94
55059,2005,Wisconsin,Kenosha County,11,36,14553,4446,160088,52282,32.66
55075,2005,Wisconsin,Marinette County,12,13,3570,3296,42850,14484,33.8
55083,2005,Wisconsin,Oconto County,7,9,5366,4173,37563,6306,16.79
55097,2005,Wisconsin,Portage County,9,9,7560,7560,68045,12795,18.8
55107,2005,Wisconsin,Rusk County,4,6,3772,2515,15091,1573,10.42
55137,2005,Wisconsin,Waushara County,4,8,6141,3070,24564,4442,18.08
1055,2006,Alabama,Etowah County,27,27,3834,3834,103528,45006,43.47
1073,2006,Alabama,Jefferson County,97,167,6761,3927,655893,242868,37.03
1089,2006,Alabama,Madison County,58,36,5330,8588,309170,117540,38.02
1107,2006,Alabama,Pickens County,9,7,2236,2875,20128,3056,15.18
4001,2006,Arizona,Apache County,11,11,6308,6308,69390,12998,18.73
4003,2006,Arizona,Cochise County,28,16,4544,7952,127241,45381,35.67
4013,2006,Arizona,Maricopa County,243,481,14991,7573,3642884,926022,25.42
5069,2006,Arkansas,Jefferson County,19,17,4209,4704,79977,30989,38.75
6031,2006,California,Kings County,8,28,18464,5275,147712,39545,26.77
6045,2006,California,Mendocino County,12,51,7278,1712,87345,28842,33.02
6055,2006,California,Napa County,3,34,43813,3865,131440,95858,72.93
6113,2006,California,Yolo County,10,41,18961,4624,189615,58705,30.96
8001,2006,Colorado,Adams County,24,55,16940,7392,406575,85744,21.09
