SEQN,Grocery,Nonfood,Other,EatOut,Delivery
84299,500,5.40E-79,200,80,80
84300,999999,999999,999999,999999,128
84301,500,5.40E-79,60,50,100
84302,642,5.40E-79,210,350,20
84303,300,5.40E-79,150,500,5.40E-79
84304,500,5.40E-79,200,428,5.40E-79
84305,415,5.40E-79,250,50,50
84306,428,999999,642,5.40E-79,5.40E-79
84307,300,5.40E-79,5.40E-79,45,5.40E-79
84308,800,5.40E-79,400,400,100
84309,,,,,
84310,1071,5.40E-79,5.40E-79,214,5.40E-79
84311,400,5.40E-79,200,5.40E-79,5.40E-79
84312,200,5.40E-79,200,5.40E-79,20
84313,600,5.40E-79,5.40E-79,777777,5.40E-79
84314,857,5.40E-79,428,5.40E-79,5.40E-79
84315,200,100,100,300,5.40E-79
84316,300,5.40E-79,150,100,5.40E-79
84317,5.40E-79,5.40E-79,750,100,5.40E-79
84318,400,20,150,25,5.40E-79
84319,428,42,5.40E-79,75,15
84320,700,5.40E-79,300,100,5.40E-79
84321,800,5.40E-79,342,400,214
84322,300,5.40E-79,5.40E-79,175,5.40E-79
84323,450,5.40E-79,200,350,150
84324,450,5.40E-79,5.40E-79,50,5.40E-79
84325,600,50,200,150,5.40E-79
84326,857,107,5.40E-79,5.40E-79,40
84327,999999,999999,999999,80,5.40E-79
84328,1285,5.40E-79,300,50,100
84329,,,,,
84330,214,5.40E-79,20,80,70
84331,200,5.40E-79,100,30,40
84332,175,5.40E-79,54,5.40E-79,5.40E-79
84333,450,5.40E-79,30,100,30
84334,100,5.40E-79,300,171,15
84335,1400,5.40E-79,200,100,5.40E-79
84336,217,50,5.40E-79,35,5.40E-79
84337,350,5.40E-79,428,5.40E-79,5.40E-79
84338,5.40E-79,5.40E-79,650,30,100
84339,300,5.40E-79,128,171,5.40E-79
84340,1000,300,150,200,100
84341,6428,5.40E-79,300,5.40E-79,5.40E-79
84342,600,5.40E-79,5.40E-79,128,107
84343,400,5.40E-79,5.40E-79,90,5.40E-79
84344,450,75,20,40,5.40E-79
84345,200,5.40E-79,300,5.40E-79,30
84346,800,5.40E-79,300,400,50
