GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay
19023,2015,5,26,316,4,60,867
19033,2015,5,180,3708,10,739,13585
19045,2015,11,197,3431,9,666,10361
19049,2015,11,100,1344,12,1446,28631
19057,2015,8,126,2047,6,579,11724
19061,2015,11,229,3642,15,1496,27626
19065,2015,7,75,1196,6,188,2987
19079,2015,3,21,480,5,239,4196
19083,2015,4,58,873,6,305,5182
19085,2015,3,42,838,4,79,1108
19099,2015,3,28,481,7,405,7419
19103,2015,5,144,2441,20,2077,44810
19111,2015,9,101,1748,7,507,9989
19113,2015,17,234,3620,28,2992,56839
19119,2015,3,13,248,5,87,1040
19125,2015,5,54,830,8,375,7065
19127,2015,6,80,1596,11,453,8921
19129,2015,3,53,1028,3,74,1120
19137,2015,3,32,510,3,206,3613
19139,2015,7,116,1986,8,469,9364
19141,2015,4,57,933,8,277,4446
19147,2015,3,21,149,3,95,1372
19153,2015,37,456,8377,83,7551,142690
19155,2015,8,88,1463,12,1104,20709
19161,2015,4,36,631,4,50,621
19163,2015,19,229,3918,23,2153,43748
19167,2015,9,84,922,8,286,4888
19169,2015,7,113,1589,12,1244,22274
19177,2015,3,6,86,5,83,1242
19183,2015,6,14,228,4,255,4350
19187,2015,5,53,762,5,465,9002
19189,2015,5,60,1047,3,143,2081
19191,2015,4,14,263,6,212,3828
19193,2015,13,175,2612,18,1213,21860
20005,2015,3,26,458,3,62,839
20021,2015,5,39,619,4,69,1175
20037,2015,9,78,1063,5,229,4781
20045,2015,8,109,1674,19,1503,28498
20057,2015,5,51,748,7,236,3720
20077,2015,4,26,411,4,50,771
20079,2015,4,31,394,6,312,5498
20091,2015,23,189,3074,79,6269,143852
20107,2015,4,20,427,3,63,976
20121,2015,6,69,1090,3,208,3827
20125,2015,8,56,1014,3,141,1840
20131,2015,5,51,603,5,119,1546
20155,2015,8,63,844,10,589,10978
20159,2015,4,58,831,3,64,1049
20173,2015,61,515,7755,75,4165,86162
20177,2015,21,193,2796,30,1680,29927
20209,2015,28,217,3725,29,982,22637
21009,2015,15,115,1675,9,224,3197
21013,2015,11,103,1499,6,320,5925
21019,2015,14,127,4151,6,348,6580
21021,2015,9,101,1483,4,167,3770
21029,2015,13,88,1536,5,434,8687
21037,2015,12,102,1706,16,917,19541
21045,2015,5,46,684,5,82,1099
21047,2015,17,155,2510,12,274,5095
21049,2015,6,39,1215,6,218,4494
21051,2015,6,38,591,4,154,2254
21059,2015,19,215,3428,16,527,11571
21067,2015,29,289,4508,58,2722,58607
21071,2015,13,92,1500,13,363,5753
21083,2015,13,80,1409,6,98,1034
21089,2015,9,57,808,6,133,1827
21093,2015,22,204,3383,14,435,9130
21095,2015,10,61,1038,9,277,5059
21099,2015,7,57,755,5,104,1548
21101,2015,11,179,2268,7,278,3324
21107,2015,14,133,2243,6,255,5164
21111,2015,108,1002,17847,159,6714,147246
21117,2015,16,147,2304,26,1284,26779
21121,2015,7,39,770,10,272,4829
21125,2015,20,137,1986,8,276,5783
21127,2015,5,27,397,3,118,1832
21141,2015,6,48,818,4,87,1488
21145,2015,20,201,3466,12,435,8119
21151,2015,22,169,2810,8,322,6768
21157,2015,9,80,1485,8,117,1752
21159,2015,5,29,442,3,86,1565
21161,2015,5,47,756,4,208,4535
21171,2015,5,30,496,5,68,941
21173,2015,9,65,1327,5,170,3962
21177,2015,7,127,1252,8,190,3144
21183,2015,5,39,524,3,14,240
21193,2015,10,103,1670,8,253,3907
21195,2015,28,225,3608,20,810,13370
21197,2015,5,31,481,4,147,2510
21199,2015,23,194,3405,12,380,7617
21207,2015,7,65,961,6,174,3362
21209,2015,5,48,760,4,113,2377
21217,2015,8,56,888,4,214,4629
21227,2015,20,227,3438,18,594,12432
21235,2015,13,94,1513,12,222,4443
22001,2015,16,92,1766,20,465,8079
22003,2015,10,60,1029,4,133,2039
22005,2015,20,158,2653,24,978,18234
22007,2015,8,133,3183,4,92,1709
22009,2015,22,139,2364,9,185,3374
22015,2015,26,211,3204,18,785,17201
22017,2015,54,459,7600,26,1768,34176
22019,2015,56,409,7631,29,1364,24197
22021,2015,4,24,467,3,151,2351
22033,2015,82,756,12344,121,4197,79273
22039,2015,11,67,1280,15,151,2764
22045,2015,20,179,2816,21,563,12794
22051,2015,70,680,11816,100,4070,85485
22053,2015,9,59,977,6,149,2844
22055,2015,52,375,6606,57,2395,44462
22057,2015,21,155,2625,13,903,15537
22061,2015,11,97,1209,4,286,4742
22067,2015,8,46,814,3,139,3350
22069,2015,10,79,1140,7,269,4481
22071,2015,40,459,8059,146,2914,59334
22073,2015,37,391,5637,22,1264,22713
22079,2015,38,260,4264,14,712,13377
22087,2015,14,110,2169,11,287,5327
22091,2015,5,23,335,4,48,745
22093,2015,6,42,758,6,254,5206
22095,2015,10,100,1517,9,286,5237
22097,2015,31,218,3547,27,618,12379
22099,2015,14,96,1601,13,400,7854
22103,2015,44,338,5898,40,2180,42587
22105,2015,41,335,5428,22,966,18269
22109,2015,30,206,3855,17,961,17619
22117,2015,19,162,2977,10,233,4951
22119,2015,15,109,1642,6,182,3270
22121,2015,8,59,916,5,180,3765
23001,2015,18,212,3749,21,1136,21269
23003,2015,15,222,4054,33,1174,21249
23005,2015,30,404,6985,76,4718,98818
23007,2015,9,55,835,12,371,8221
23009,2015,10,146,2990,30,837,18644
23011,2015,18,263,4834,24,1477,31133
23013,2015,7,93,1976,17,604,12036
23017,2015,9,93,1704,14,353,8793
23019,2015,24,288,4895,27,1678,35628
23021,2015,7,48,1227,7,261,4721
23023,2015,5,72,1267,7,404,7239
23027,2015,9,80,1622,12,370,8189
23029,2015,7,84,1656,16,450,9065
23031,2015,28,267,5383,43,2215,48875
24001,2015,16,176,2828,12,570,9672
24003,2015,40,576,8016,98,5075,119579
24005,2015,82,1079,16238,149,7788,192193
24013,2015,9,107,1620,25,1778,34231
24015,2015,13,109,1872,17,656,12695
24017,2015,13,174,2281,21,1101,22381
24019,2015,6,56,931,6,179,4241
24021,2015,22,166,2481,37,2447,53782
24023,2015,8,53,877,6,151,3054
24025,2015,18,222,3255,34,2714,57414
24027,2015,10,115,1746,42,2968,72061
24031,2015,42,436,6013,205,10583,273975
24033,2015,84,1133,16617,158,6774,177532
24037,2015,10,112,1896,18,868,17779
24043,2015,21,229,3568,24,1320,25888
24045,2015,20,185,3013,9,437,9249
24047,2015,14,140,2097,14,377,9564
24510,2015,74,734,12164,315,4693,110775
25001,2015,20,302,8638,73,4447,101764
25003,2015,25,230,3292,35,2377,54698
25005,2015,63,833,15302,90,6445,133632
25007,2015,8,35,1426,12,256,11123
25009,2015,45,548,9579,178,10097,196462
25011,2015,7,92,1637,20,749,14648
25013,2015,66,740,12993,96,5337,102317
25015,2015,10,95,1531,34,2367,51700
25017,2015,77,783,15912,278,22173,449498
25021,2015,39,444,8653,119,9140,211469
25023,2015,43,527,9780,89,7382,154732
25025,2015,52,515,9044,214,9083,177719
25027,2015,79,974,16363,133,9745,181476
26005,2015,21,150,2421,15,658,11581
26007,2015,7,53,823,9,281,5517
26009,2015,5,20,340,5,157,4134
26011,2015,4,49,941,4,58,1074
26017,2015,20,253,3956,20,640,12862
26021,2015,38,323,5270,34,1178,23178
26023,2015,11,90,1363,3,45,1225
26025,2015,28,204,3283,26,442,9773
26027,2015,7,64,1153,9,177,3558
26029,2015,6,46,876,8,144,4056
26031,2015,5,28,398,6,162,3374
26033,2015,5,55,714,13,264,5179
26035,2015,12,73,1451,11,225,5006
26037,2015,5,35,615,6,150,3072
26045,2015,16,131,2267,11,287,6408
26047,2015,7,36,614,16,330,8427
26049,2015,75,548,9069,79,2309,48555
26051,2015,8,79,1392,3,78,1561
26053,2015,4,24,371,3,110,2004
26055,2015,15,86,1391,23,828,17248
26057,2015,6,52,744,5,81,1289
26061,2015,5,62,1095,8,318,5465
26065,2015,39,294,5494,52,1201,23839
26067,2015,10,71,1049,10,366,5924
26069,2015,7,41,758,7,207,4282
26073,2015,8,90,1867,12,291,5832
26075,2015,26,203,3512,19,865,13663
26077,2015,30,303,5038,46,1289,23326
26079,2015,5,47,982,6,234,4545
26081,2015,100,751,11666,92,2767,58962
26087,2015,13,101,1459,10,390,8592
26091,2015,17,126,2410,15,586,9823
26093,2015,12,90,1346,18,791,17656
26099,2015,98,809,12404,120,4777,108191
26101,2015,8,76,1301,10,203,4234
26103,2015,11,88,1598,16,503,9105
26105,2015,6,33,572,6,119,2084
26107,2015,6,54,804,6,98,1846
26111,2015,9,64,1032,16,384,8241
26115,2015,14,123,2035,23,749,14384
26117,2015,17,101,1613,10,326,5276
26121,2015,33,263,4367,21,460,8503
26123,2015,9,83,1475,9,262,4405
26125,2015,142,1042,16999,232,9204,221642
26127,2015,10,52,1167,6,178,3223
26133,2015,10,54,937,6,115,2615
26137,2015,5,52,866,6,111,2544
26139,2015,19,143,2177,34,964,19944
26143,2015,8,42,781,5,103,1880
26145,2015,38,270,4269,38,1116,20042
26147,2015,23,171,2630,24,814,16102
26149,2015,13,88,1727,10,206,4545
26151,2015,14,72,1217,9,334,5605
26155,2015,17,106,1567,11,338,6737
26157,2015,11,76,1004,8,303,5402
26159,2015,19,124,1935,20,428,7977
26161,2015,21,214,3329,62,2990,67391
26163,2015,262,2040,32656,420,9792,202417
26165,2015,9,76,1280,7,134,2963
27003,2015,19,411,6927,32,1475,37990
27007,2015,9,102,2218,7,344,6945
27013,2015,6,170,3076,8,848,17861
27015,2015,6,101,1617,5,409,8480
27017,2015,3,40,510,4,199,3945
27021,2015,5,23,150,9,241,4453
27033,2015,3,57,1089,5,175,2321
27035,2015,15,272,5671,15,608,14590
27037,2015,19,374,7168,49,2516,64085
27041,2015,8,202,4195,8,193,3592
27049,2015,10,73,887,12,327,6275
27053,2015,82,905,15691,235,9987,253051
27055,2015,4,24,222,5,164,1723
27057,2015,7,84,2282,4,213,4355
27061,2015,9,196,6066,10,262,5582
27067,2015,5,72,1285,10,399,8397
27071,2015,5,21,324,5,158,3547
27079,2015,4,22,428,4,139,1576
27095,2015,6,34,973,6,390,7437
27105,2015,4,41,612,7,354,6288
27109,2015,9,267,5042,26,1525,29251
27111,2015,14,246,5199,13,414,7625
27115,2015,5,31,482,4,175,2852
27123,2015,35,304,4134,105,4460,104931
27131,2015,5,19,258,8,513,9949
27135,2015,7,62,1368,6,212,3188
27137,2015,22,325,7377,32,1645,36917
27139,2015,3,11,179,14,829,19046
27141,2015,5,57,1067,7,472,9481
27145,2015,15,328,5834,32,1549,28546
27151,2015,4,29,416,3,85,1404
27153,2015,6,38,391,7,194,3311
27163,2015,11,285,5962,26,1533,40453
27165,2015,4,51,1057,3,112,1706
27171,2015,11,137,2563,13,954,19685
28003,2015,11,68,1124,7,262,5030
28011,2015,12,89,1326,8,226,3790
28013,2015,6,61,761,5,98,1675
28017,2015,6,51,755,3,154,2274
28023,2015,8,68,1019,3,94,1740
28027,2015,9,82,1052,7,137,2680
28029,2015,11,124,1787,4,58,944
28031,2015,7,48,688,4,98,1687
28033,2015,33,359,4968,19,1111,23790
28035,2015,27,354,5204,12,381,6380
28041,2015,5,35,522,3,80,790
28047,2015,57,470,8247,19,964,20992
28049,2015,61,578,8649,29,1800,33350
28051,2015,8,77,966,6,67,1115
28059,2015,42,362,5317,19,694,12213
28061,2015,7,48,780,3,74,1073
28067,2015,27,247,4011,9,373,6539
28073,2015,14,118,1606,7,272,4598
28075,2015,24,219,3436,8,524,7209
28077,2015,4,34,495,4,104,1702
28081,2015,28,300,3985,17,535,9486
28083,2015,9,93,1272,10,241,2968
28085,2015,13,105,1889,4,194,3675
28087,2015,20,190,2990,9,327,5348
28089,2015,17,117,1803,18,812,17424
28091,2015,9,82,1220,4,143,2431
28093,2015,10,71,1060,4,135,2217
28095,2015,11,106,1499,5,137,1979
28101,2015,8,65,1056,4,100,1976
28107,2015,10,87,1230,4,256,5138
28109,2015,22,176,2887,8,351,5920
28113,2015,16,110,1822,7,213,4255
28115,2015,8,62,829,6,125,2485
28117,2015,10,80,1187,7,174,2675
28121,2015,32,265,4244,14,877,18462
28123,2015,11,103,1407,9,223,3233
28141,2015,8,47,739,8,156,2342
28143,2015,7,52,949,4,62,895
28145,2015,9,62,894,4,104,2193
28147,2015,3,29,422,4,98,1496
28149,2015,11,123,1701,5,279,5302
28151,2015,18,157,2227,10,409,7655
28153,2015,7,74,1130,4,163,2699
28155,2015,4,34,457,4,55,1128
28161,2015,6,42,680,3,87,1339
28163,2015,12,120,1855,5,127,2240
29019,2015,12,111,1594,34,2493,38731
29021,2015,11,87,1392,8,731,14552
29023,2015,9,86,1193,8,317,5629
29027,2015,7,45,650,4,156,2841
