GeoID,Pop_2010,FD_num_2010,FD_pct_2010
18007,8854,106,1.2
18009,12766,258,2.02
18011,56640,7606,13.43
18013,15242,450,2.95
18015,20155,923,4.58
18017,38966,1592,4.09
18019,110232,23781,21.57
18021,26890,1038,3.86
18023,33224,1331,4.01
18025,10713,1211,11.31
18027,31648,1438,4.54
18029,50047,13205,26.39
18031,25740,3541,13.76
18033,42223,11734,27.79
18035,117671,28539,24.25
18037,41889,2370,5.66
18039,197559,38971,19.73
18041,24277,5202,21.43
18043,74578,17846,23.93
18045,17240,643,3.73
18047,23087,2095,9.07
18049,20836,3232,15.51
18051,33503,3461,10.33
18053,70061,14392,20.54
18055,33165,2712,8.18
18057,274569,95377,34.74
18059,70002,22871,32.67
18061,39364,2153,5.47
18063,145448,53660,36.89
18065,49462,2249,4.55
18067,82752,25625,30.97
18069,37124,7638,20.57
18071,42376,6494,15.32
18073,33478,2421,7.23
18075,21253,4108,19.33
18077,32428,4773,14.72
18079,28525,5226,18.32
18081,139654,42603,30.51
18083,38440,4872,12.67
18085,77358,17486,22.6
18087,37128,522,1.41
18089,496005,138588,27.94
18091,111467,20849,18.7
18093,46134,4146,8.99
18095,131636,32821,24.93
18097,903393,226700,25.09
18099,47051,7428,15.79
18101,10334,268,2.59
18103,36903,6701,18.16
18105,137974,27358,19.83
18107,38124,4577,12.01
18109,68894,12320,17.88
18111,14244,194,1.36
18113,47536,3233,6.8
18115,6128,0,0.0
18117,19840,1189,5.99
18119,21575,152,0.7
18121,17339,1605,9.26
18123,19338,5305,27.43
18125,12845,647,5.04
18127,164343,63748,38.79
18129,25910,5972,23.05
18131,13402,355,2.65
18133,37963,1058,2.79
18135,26171,5240,20.02
18137,28818,732,2.54
18139,17392,593,3.41
18141,266931,90150,33.77
18143,24181,1250,5.17
18145,44436,4516,10.16
18147,20952,2,0.01
18149,23363,1375,5.88
18151,34185,7252,21.21
18153,21475,1055,4.91
18155,10613,488,4.59
18157,172780,48238,27.92
18159,15936,5142,32.27
18161,7516,0,0.0
18163,179703,35571,19.79
18165,16212,2245,13.85
18167,107848,29116,27.0
18169,32888,2760,8.39
18171,8508,266,3.12
18173,59689,16947,28.39
18175,28262,2753,9.74
18177,68917,11683,16.95
18179,27636,2936,10.62
18181,24643,2458,9.98
18183,33292,1688,5.07
19001,7682,605,7.88
19003,4029,243,6.04
19005,14330,2728,19.04
19007,12887,1859,14.42
19009,6119,254,4.15
19011,26076,3824,14.66
19013,131090,31222,23.82
19015,26306,3422,13.01
19017,24276,1848,7.61
19019,20958,2754,13.14
19021,20260,2739,13.52
19023,14867,6748,45.39
19025,9670,4598,47.55
19027,20816,949,4.56
19029,13956,3558,25.49
19031,18499,1953,10.56
19033,44151,7339,16.62
19035,12072,879,7.28
19037,12439,1835,14.75
19039,9286,735,7.92
19041,16667,1580,9.48
19043,18129,3344,18.44
19045,49116,10207,20.78
19047,17096,4552,26.62
19049,66135,3414,5.16
19051,8753,1162,13.27
19053,8457,919,10.87
19055,17764,1552,8.74
19057,40325,9844,24.41
19059,16667,3427,20.56
19061,93653,18161,19.39
19063,10302,2856,27.72
19065,20880,1168,5.59
19067,16303,3027,18.56
19069,10680,1930,18.07
19071,7441,3371,45.3
19073,9336,2330,24.96
19075,12453,1390,11.16
19077,10954,1229,11.22
19079,15673,3650,23.29
19081,11341,1424,12.55
19083,17534,2566,14.64
19085,14928,2674,17.92
19087,20145,5846,29.02
19089,9566,3735,39.04
19091,9815,1715,17.47
19093,7089,75,1.06
19095,16355,2054,12.56
19097,19848,4068,20.5
19099,36842,6078,16.5
19101,16843,2306,13.69
19103,130882,21904,16.74
19105,20638,2495,12.09
19107,10511,2671,25.41
19109,15543,7179,46.19
19111,35862,4920,13.72
19113,211226,54382,25.75
19115,11387,137,1.2
19117,8898,1928,21.66
19119,11581,1865,16.1
19121,15679,2840,18.11
19123,22381,5137,22.95
19125,33309,4678,14.04
19127,40648,9547,23.49
19129,15059,1304,8.66
19131,10776,2222,20.62
19133,9243,1399,15.14
19135,7970,1701,21.34
19137,10740,2143,19.95
19139,42745,10213,23.89
19141,14398,3105,21.57
19143,6462,1178,18.23
19145,15932,4587,28.79
19147,9421,3178,33.74
19149,24986,1028,4.11
19151,7310,1802,24.65
19153,430640,87818,20.39
19155,93158,35079,37.66
19157,18914,3582,18.94
19159,5131,593,11.56
19161,10350,2045,19.76
19163,165224,19209,11.63
19165,12167,3195,26.26
19167,33704,1397,4.15
19169,89542,16125,18.01
19171,17767,3204,18.04
19173,6317,499,7.9
19175,12534,2442,19.49
19177,7570,6901,91.16
19179,35625,9882,27.74
19181,46225,10136,21.93
19183,21704,1491,6.87
19185,6403,2560,39.99
19187,38013,8414,22.14
19189,10866,1920,17.67
19191,21056,2877,13.66
19193,102172,32231,31.55
19195,7598,610,8.03
19197,13229,887,6.71
20001,13371,5343,39.96
20003,8102,1808,22.32
20005,16924,3503,20.7
20007,4861,556,11.43
20009,27674,6373,23.03
20011,15173,3179,20.95
20013,9984,579,5.8
20015,65880,16179,24.56
20017,2790,2615,93.74
20019,3669,1100,29.99
20021,21603,3501,16.21
20023,2726,2676,98.16
20025,2215,2215,100.0
20027,8535,2243,26.28
20029,9533,3220,33.78
20031,8601,4620,53.71
20033,1891,337,17.82
20035,36311,5906,16.26
20037,39134,11858,30.3
20039,2961,500,16.88
20041,19754,3653,18.49
20043,7945,4874,61.34
20045,110826,14766,13.32
20047,3037,486,16.0
20049,2882,2863,99.36
20051,28452,5664,19.91
20053,6497,2034,31.31
20055,36776,7498,20.39
20057,33848,10833,32.01
20059,25992,12228,47.04
20061,34362,11539,33.58
20063,2695,2626,97.44
20065,2597,576,22.18
20067,7829,743,9.48
20069,6006,3184,53.01
20071,1247,1247,100.0
20073,6689,2872,42.93
20075,2690,2690,100.0
20077,6034,1122,18.59
20079,34684,7819,22.54
20081,4256,4256,100.0
20083,1916,1902,99.29
20085,13462,2033,15.1
20087,19126,2889,15.11
20089,3077,836,27.17
20091,544179,119671,21.99
20093,3977,350,8.81
20095,7858,2622,33.37
20097,2553,2544,99.65
20099,21607,4222,19.54
20101,1750,1750,100.0
20103,76227,14861,19.5
20105,3241,1028,31.72
20107,9656,3326,34.44
20109,2756,503,18.24
20111,33690,3322,9.86
20113,29180,8539,29.26
20115,12660,3065,24.21
20117,10117,1423,14.07
20119,4575,2320,50.72
20121,32787,3482,10.62
20123,6373,1405,22.05
20125,35471,4026,11.35
20127,5923,1952,32.96
20129,3233,845,26.14
20131,10178,1537,15.11
20133,16512,4082,24.72
20135,3107,836,26.92
20137,5671,1674,29.52
20139,16295,1906,11.7
20141,3858,892,23.11
20143,6091,1736,28.5
20145,6973,1180,16.93
20147,5642,1995,35.35
20149,21604,4154,19.23
20151,9656,2221,23.0
20153,2519,899,35.68
20155,64511,17367,26.92
20157,4980,1275,25.59
20159,10083,1886,18.71
20161,71115,35862,50.43
20163,5181,750,14.48
20165,3307,3307,100.0
20167,6970,1733,24.86
20169,55606,11417,20.53
20171,4936,448,9.08
20173,498365,145051,29.11
20175,22952,9959,43.39
20177,177934,47825,26.88
20179,2556,2521,98.64
20181,6010,4302,71.58
20183,3853,1494,38.77
20185,4437,1354,30.52
20187,2235,236,10.54
20189,5724,1044,18.24
20191,24132,5940,24.62
20193,7900,3715,47.03
20195,3001,539,17.96
20197,7053,4695,66.56
20199,1485,487,32.78
20201,5799,2726,47.01
20203,2234,2234,100.0
20205,9409,1020,10.84
20207,3309,67,2.04
20209,157505,48750,30.95
21001,18656,1601,8.58
21003,19956,246,1.23
