GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2015,FD_num_2015,FD_pct_2015,D_Cap,G_Cap
17199,2015,15,238,4098,12,346,7799,67589,9594,14.46,640,5632
17201,2015,40,640,10364,57,1956,43596,287168,76322,25.85,1908,5038
18001,2015,8,118,1298,5,166,2837,34967,2973,8.65,372,6993
18003,2015,38,320,5883,52,1941,42140,368040,107884,30.36,2839,7078
18005,2015,9,120,2269,11,370,7761,81011,20968,27.3,2330,7365
18009,2015,4,31,338,3,97,1501,12287,271,2.12,68,4096
18011,2015,4,39,555,6,271,4894,63400,6750,11.92,1688,10567
18017,2015,9,152,1703,6,186,3545,38078,1565,4.02,174,6346
18019,2015,22,194,3413,13,646,12571,115090,24179,21.94,1099,8853
18023,2015,5,104,1032,5,99,1854,32567,621,1.87,124,6513
18027,2015,7,35,530,6,141,2219,32836,3039,9.6,434,5473
18029,2015,7,48,827,6,236,5031,49475,13205,26.39,1886,8246
18031,2015,6,114,1314,6,109,1692,26393,3931,15.27,655,4399
