GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,FD_num_2010,FD_pct_2010
22105,2010,31,293,4388,24,1061,16772,121097,33649,27.79
22109,2010,23,171,2799,17,923,17527,111860,33017,29.52
22111,2010,7,39,685,7,147,2518,22721,4114,18.11
22113,2010,12,80,1304,16,388,6789,57999,3426,5.91
22117,2010,14,142,2465,12,330,6033,47168,7914,16.78
22119,2010,11,76,1256,7,278,3970,41207,8323,20.2
22121,2010,6,46,710,5,223,3706,23788,3923,16.49
23001,2010,14,218,3814,21,931,18675,107702,12165,11.29
23007,2010,8,34,398,12,393,7394,30768,468,1.52
23009,2010,16,176,3208,27,690,14962,54418,3364,6.18
23013,2010,5,70,1343,14,518,10660,39736,4460,11.22
23015,2010,5,41,891,13,467,9109,34457,1483,4.31
23017,2010,15,120,1762,13,315,7453,57833,4951,8.56
23019,2010,27,316,5464,31,1604,32863,153923,24923,16.19
23023,2010,3,31,746,8,363,6836,35293,3515,9.96
23025,2010,7,54,963,12,374,6663,52228,4098,7.85
23027,2010,7,82,1703,8,301,5942,38786,3519,9.07
23031,2010,17,226,3563,43,1764,39453,197131,33631,17.06
24001,2010,15,155,2520,17,661,9857,75087,29069,38.71
24003,2010,33,371,5651,86,4513,120832,537656,154301,28.7
24005,2010,72,762,12578,130,7616,195585,805029,163117,20.26
24009,2010,3,12,224,14,918,22960,88737,29796,33.58
24011,2010,5,58,739,8,159,2712,33066,2127,6.43
24013,2010,8,84,1382,23,1752,38047,167134,42953,25.7
24015,2010,10,94,1513,16,666,12632,101108,20177,19.96
24017,2010,11,105,2069,23,1078,27739,146551,46914,32.01
24021,2010,16,117,2021,35,2013,46713,233385,48430,20.75
24023,2010,5,40,596,7,130,2377,30097,1294,4.3
24025,2010,15,155,2716,34,2353,49346,244826,59244,24.2
24027,2010,8,49,1117,41,2663,67462,287085,61596,21.46
24031,2010,29,230,4174,207,9222,264091,971777,152763,15.72
24033,2010,63,736,11512,162,6305,170195,863420,230854,26.74
24035,2010,5,20,481,9,406,8351,47798,10967,22.94
24510,2010,67,558,9729,214,3433,91480,620961,20616,3.32
25001,2010,28,348,8910,62,3430,80117,215888,108706,50.35
25011,2010,5,42,794,25,675,14310,71372,12348,17.3
25015,2010,10,77,1391,32,2272,49538,158080,52127,32.97
25025,2010,52,338,6110,215,7286,146291,722023,20450,2.83
26005,2010,17,106,1595,20,746,11965,111408,6394,5.74
26007,2010,4,45,619,8,241,4691,29598,2016,6.81
26015,2010,7,57,641,11,306,5336,59173,1673,2.83
26017,2010,17,187,2732,19,561,11879,107771,20215,18.76
26021,2010,26,190,3254,39,1183,23715,156813,38516,24.56
